level3_colupdates:
.byte	
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0,
	
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0,
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0,
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0,
	0,0,0,0, 0, 0,1,0,0,0,0,0,0,0,0,0,0,1,0, 0,
	0,0,0,0, 0, 0,0,0,1,0,0,0,0,0,0,1,0,0,0, 0,
	0,0,0,0, 0, 0,0,0,0,0,0,1,1,0,0,0,0,0,0, 0,
	0,0,0,0, 0, 0,0,1,0,0,0,0,0,0,0,0,1,0,0, 0,
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0,
	0,0,0,0, 0, 0,1,0,0,0,0,0,0,0,0,0,0,1,0, 0,
	0,0,0,0, 0, 0,0,0,0,0,0,1,1,0,0,0,0,0,0, 0,
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0,
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0,
	0,0,0,0, 0, 0,1,0,0,0,1,0,0,1,0,0,0,1,0, 0,
	
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
.byte
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0,
	
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0,
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0,
	0,0,0,0, 0, 1,0,0,0,0,0,0,0,0,0,0,0,0,1, 0,
	0,0,0,0, 0, 0,0,0,0,1,0,0,0,0,1,0,0,0,0, 0,
	0,0,0,0, 0, 0,0,0,0,0,1,0,0,1,0,0,0,0,0, 0,
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0,
	0,0,0,0, 0, 0,1,0,0,0,0,1,1,0,0,0,0,1,0, 0,
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0,
	0,0,0,0, 0, 0,0,1,0,0,0,1,1,0,0,0,1,0,0, 0,
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0,
	0,0,0,0, 0, 0,0,0,1,0,0,0,0,0,0,1,0,0,0, 0,
	0,0,0,0, 0, 0,1,0,0,0,0,0,0,0,0,0,0,1,0, 0,
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0,
	
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
