level2_collectibles1:
# matrix size
.word	20, 15

# amount of collectibles
.word	16

# where those collectibles will be placed
.byte	
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0,
	
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0,
	0,0,0,0, 0, 0,0,0,0,0,0,1,1,0,0,0,0,0,0, 0,
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0,
	0,0,0,0, 0, 0,0,0,0,1,0,0,0,0,1,0,0,0,0, 0,
	0,0,0,0, 0, 1,0,0,0,0,0,0,0,0,0,0,0,0,1, 0,
	0,0,0,0, 0, 0,0,1,0,0,0,0,0,0,0,0,1,0,0, 0,
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0,
	0,0,0,0, 0, 0,0,1,0,0,0,0,0,0,0,0,1,0,0, 0,
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0,
	0,0,0,0, 0, 1,0,0,0,0,0,0,0,0,0,0,0,0,1, 0,
	0,0,0,0, 0, 0,0,0,0,1,0,0,0,0,1,0,0,0,0, 0,
	0,0,0,0, 0, 0,0,0,0,0,0,1,1,0,0,0,0,0,0, 0,
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0,
	
	0,0,0,0, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
