level2_bg: .word 320, 240
.byte 1,2,1,1,3,1,3,3,3,3,1,3,3,3,3,2,1,2,1,1,3,1,3,3,3,3,1,3,3,3,3,2,1,2,1,1,3,1,3,3,3,3,1,3,3,3,3,2,1,2,1,1,3,1,3,3,3,3,1,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2,3,3,2,1,1,1,3,3,1,1,1,3,3,1,1,2,3,3,2,1,1,1,3,3,1,1,1,3,3,1,1,2,3,3,2,1,1,1,3,3,1,1,1,3,3,1,1,2,3,3,2,1,1,1,3,3,1,1,1,3,3,1,1,1,1,3,3,3,3,3,3,3,3,3,2,3,2,2,1,1,1,3,3,3,3,3,3,3,3,3,2,3,2,2,1,1,1,3,3,3,3,3,3,3,3,3,2,3,2,2,1,1,1,3,3,3,3,3,3,3,3,3,2,3,2,2,1,1,1,3,3,3,3,3,3,3,3,3,2,3,2,2,1,1,1,3,3,3,3,3,3,3,3,3,2,3,2,2,1,1,1,3,3,3,3,3,3,3,3,3,2,3,2,2,1,1,1,3,3,3,3,3,3,3,3,3,2,3,2,2,1,1,1,3,3,3,3,3,3,3,3,3,2,3,2,2,1,1,1,3,3,3,3,3,3,3,3,3,2,3,2,2,1,1,1,3,3,3,3,3,3,3,3,3,2,3,2,2,1,1,1,3,3,3,3,3,3,3,3,3,2,3,2,2,1,1,1,3,3,3,3,3,3,3,3,3,2,3,2,2,1,1,1,3,3,3,3,3,3,3,3,3,2,3,2,2,1,1,1,3,3,3,3,3,3,3,3,3,2,3,2,2,1,1,1,3,3,3,3,3,3,3,3,3,2,3,2,2,1,
3,3,3,3,2,1,1,1,3,2,1,1,3,1,3,3,3,3,3,3,2,1,1,1,3,2,1,1,3,1,3,1,1,3,3,3,2,1,1,1,3,2,1,1,3,1,3,3,3,3,3,3,2,1,1,1,3,2,1,1,3,1,3,3,1,4,3,3,3,3,3,3,3,3,2,3,2,2,2,1,1,4,3,3,3,3,3,3,3,3,2,3,2,2,2,1,1,4,3,3,3,3,3,3,3,3,2,3,2,2,2,1,1,4,3,3,3,3,3,3,3,3,2,3,2,2,2,1,1,4,3,3,3,3,3,3,3,3,2,3,2,2,2,1,1,4,3,3,3,3,3,3,3,3,2,3,2,2,2,1,1,4,3,3,3,3,3,3,3,3,2,3,2,2,2,1,1,4,3,3,3,3,3,3,3,3,2,3,2,2,2,1,1,4,3,3,3,3,3,3,3,3,2,3,2,2,2,1,1,4,3,3,3,3,3,3,3,3,2,3,2,2,2,1,1,4,3,3,3,3,3,3,3,3,2,3,2,2,2,1,1,4,3,3,3,3,3,3,3,3,2,3,2,2,2,1,1,4,3,3,3,3,3,3,3,3,2,3,2,2,2,1,1,4,3,3,3,3,3,3,3,3,2,3,2,2,2,1,1,4,3,3,3,3,3,3,3,3,2,3,2,2,2,1,1,4,3,3,3,3,3,3,3,3,2,3,2,2,2,1,
4,3,3,3,3,1,2,3,3,3,3,2,1,3,1,3,4,3,3,3,3,1,2,3,3,3,3,2,1,3,1,1,1,3,3,3,3,1,2,3,3,3,3,2,1,3,1,3,4,3,3,3,3,1,2,3,3,3,3,2,1,3,1,3,1,4,5,4,7,7,7,7,7,7,7,4,3,2,2,1,1,4,5,4,7,7,7,7,7,7,7,4,3,2,2,1,1,4,5,4,7,7,7,7,7,7,7,4,3,2,2,1,1,4,5,4,7,7,7,7,7,7,7,4,3,2,2,1,1,4,5,4,7,7,7,7,7,7,7,4,3,2,2,1,1,4,5,4,7,7,7,7,7,7,7,4,3,2,2,1,1,4,5,4,7,7,7,7,7,7,7,4,3,2,2,1,1,4,5,4,7,7,7,7,7,7,7,4,3,2,2,1,1,4,5,4,7,7,7,7,7,7,7,4,3,2,2,1,1,4,5,4,7,7,7,7,7,7,7,4,3,2,2,1,1,4,5,4,7,7,7,7,7,7,7,4,3,2,2,1,1,4,5,4,7,7,7,7,7,7,7,4,3,2,2,1,1,4,5,4,7,7,7,7,7,7,7,4,3,2,2,1,1,4,5,4,7,7,7,7,7,7,7,4,3,2,2,1,1,4,5,4,7,7,7,7,7,7,7,4,3,2,2,1,1,4,5,4,7,7,7,7,7,7,7,4,3,2,2,1,
3,4,3,3,1,3,3,4,4,3,3,3,1,3,3,1,3,4,3,3,1,3,3,4,4,3,3,1,1,3,1,1,1,1,3,3,1,3,3,4,4,3,3,3,1,3,3,1,3,4,3,3,1,3,3,4,4,3,3,3,1,3,3,1,1,4,5,7,7,4,7,4,7,4,4,3,4,2,2,1,1,4,5,7,7,4,7,4,7,4,4,3,4,2,2,1,1,4,5,7,7,4,7,4,7,4,4,3,4,2,2,1,1,4,5,7,7,4,7,4,7,4,4,3,4,2,2,1,1,4,5,7,7,4,7,4,7,4,4,3,4,2,2,1,1,4,5,7,7,4,7,4,7,4,4,3,4,2,2,1,1,4,5,7,7,4,7,4,7,4,4,3,4,2,2,1,1,4,5,7,7,4,7,4,7,4,4,3,4,2,2,1,1,4,5,7,7,4,7,4,7,4,4,3,4,2,2,1,1,4,5,7,7,4,7,4,7,4,4,3,4,2,2,1,1,4,5,7,7,4,7,4,7,4,4,3,4,2,2,1,1,4,5,7,7,4,7,4,7,4,4,3,4,2,2,1,1,4,5,7,7,4,7,4,7,4,4,3,4,2,2,1,1,4,5,7,7,4,7,4,7,4,4,3,4,2,2,1,1,4,5,7,7,4,7,4,7,4,4,3,4,2,2,1,1,4,5,7,7,4,7,4,7,4,4,3,4,2,2,1,
1,3,3,2,1,1,4,4,3,3,3,1,3,3,3,3,1,3,3,2,1,3,4,4,3,3,3,1,3,3,1,1,1,1,3,2,1,3,4,4,3,3,3,1,3,3,3,3,1,3,3,2,1,3,4,4,3,3,1,1,3,3,3,3,1,4,4,7,4,5,4,5,4,5,4,5,3,2,2,1,1,4,4,7,4,5,4,5,4,5,4,5,3,2,2,1,1,4,4,7,4,5,4,5,4,5,4,5,3,2,2,1,1,4,4,7,4,5,4,5,4,5,4,5,3,2,2,1,1,4,4,7,4,5,4,5,4,5,4,5,3,2,2,1,1,4,4,7,4,5,4,5,4,5,4,5,3,2,2,1,1,4,4,7,4,5,4,5,4,5,4,5,3,2,2,1,1,4,4,7,4,5,4,5,4,5,4,5,3,2,2,1,1,4,4,7,4,5,4,5,4,5,4,5,3,2,2,1,1,4,4,7,4,5,4,5,4,5,4,5,3,2,2,1,1,4,4,7,4,5,4,5,4,5,4,5,3,2,2,1,1,4,4,7,4,5,4,5,4,5,4,5,3,2,2,1,1,4,4,7,4,5,4,5,4,5,4,5,3,2,2,1,1,4,4,7,4,5,4,5,4,5,4,5,3,2,2,1,1,4,4,7,4,5,4,5,4,5,4,5,3,2,2,1,1,4,4,7,4,5,4,5,4,5,4,5,3,2,2,1,
1,3,3,1,1,3,1,1,3,3,1,1,3,3,4,3,1,3,3,1,1,3,3,3,1,3,1,1,3,1,1,1,1,1,1,1,1,1,3,1,3,3,1,1,3,3,4,3,1,3,3,1,1,3,3,3,1,1,1,1,3,3,4,3,1,5,4,7,5,4,5,4,5,4,5,4,4,2,2,1,1,5,4,7,5,4,5,4,5,4,5,4,4,2,2,1,1,5,4,7,5,4,5,4,5,4,5,4,4,2,2,1,1,5,4,7,5,4,5,4,5,4,5,4,4,2,2,1,1,5,4,7,5,4,5,4,5,4,5,4,4,2,2,1,1,5,4,7,5,4,5,4,5,4,5,4,4,2,2,1,1,5,4,7,5,4,5,4,5,4,5,4,4,2,2,1,1,5,4,7,5,4,5,4,5,4,5,4,4,2,2,1,1,5,4,7,5,4,5,4,5,4,5,4,4,2,2,1,1,5,4,7,5,4,5,4,5,4,5,4,4,2,2,1,1,5,4,7,5,4,5,4,5,4,5,4,4,2,2,1,1,5,4,7,5,4,5,4,5,4,5,4,4,2,2,1,1,5,4,7,5,4,5,4,5,4,5,4,4,2,2,1,1,5,4,7,5,4,5,4,5,4,5,4,4,2,2,1,1,5,4,7,5,4,5,4,5,4,5,4,4,2,2,1,1,5,4,7,5,4,5,4,5,4,5,4,4,2,2,1,
3,2,1,1,1,3,1,1,1,1,1,3,1,3,4,4,3,2,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,4,4,3,2,1,1,1,1,1,1,1,1,3,3,1,3,4,4,1,5,4,7,4,4,5,4,4,5,4,4,5,2,2,1,1,5,4,7,4,4,5,4,4,5,4,4,5,2,2,1,1,5,4,7,4,4,5,4,4,5,4,4,5,2,2,1,1,5,4,7,4,4,5,4,4,5,4,4,5,2,2,1,1,5,4,7,4,4,5,4,4,5,4,4,5,2,2,1,1,5,4,7,4,4,5,4,4,5,4,4,5,2,2,1,1,5,4,7,4,4,5,4,4,5,4,4,5,2,2,1,1,5,4,7,4,4,5,4,4,5,4,4,5,2,2,1,1,5,4,7,4,4,5,4,4,5,4,4,5,2,2,1,1,5,4,7,4,4,5,4,4,5,4,4,5,2,2,1,1,5,4,7,4,4,5,4,4,5,4,4,5,2,2,1,1,5,4,7,4,4,5,4,4,5,4,4,5,2,2,1,1,5,4,7,4,4,5,4,4,5,4,4,5,2,2,1,1,5,4,7,4,4,5,4,4,5,4,4,5,2,2,1,1,5,4,7,4,4,5,4,4,5,4,4,5,2,2,1,1,5,4,7,4,4,5,4,4,5,4,4,5,2,2,1,
3,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,3,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,3,3,3,1,1,1,1,1,1,1,1,3,3,3,3,1,3,3,1,4,3,7,5,4,5,4,5,4,5,4,3,2,2,1,1,4,3,7,5,4,5,4,5,4,5,4,3,2,2,1,1,4,3,7,5,4,5,4,5,4,5,4,3,2,2,1,1,4,3,7,5,4,5,4,5,4,5,4,3,2,2,1,1,4,3,7,5,4,5,4,5,4,5,4,3,2,2,1,1,4,3,7,5,4,5,4,5,4,5,4,3,2,2,1,1,4,3,7,5,4,5,4,5,4,5,4,3,2,2,1,1,4,3,7,5,4,5,4,5,4,5,4,3,2,2,1,1,4,3,7,5,4,5,4,5,4,5,4,3,2,2,1,1,4,3,7,5,4,5,4,5,4,5,4,3,2,2,1,1,4,3,7,5,4,5,4,5,4,5,4,3,2,2,1,1,4,3,7,5,4,5,4,5,4,5,4,3,2,2,1,1,4,3,7,5,4,5,4,5,4,5,4,3,2,2,1,1,4,3,7,5,4,5,4,5,4,5,4,3,2,2,1,1,4,3,7,5,4,5,4,5,4,5,4,3,2,2,1,1,4,3,7,5,4,5,4,5,4,5,4,3,2,2,1,
1,3,3,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,3,4,7,4,5,4,5,4,5,4,3,2,2,2,1,1,3,4,7,4,5,4,5,4,5,4,3,2,2,2,1,1,3,4,7,4,5,4,5,4,5,4,3,2,2,2,1,1,3,4,7,4,5,4,5,4,5,4,3,2,2,2,1,1,3,4,7,4,5,4,5,4,5,4,3,2,2,2,1,1,3,4,7,4,5,4,5,4,5,4,3,2,2,2,1,1,3,4,7,4,5,4,5,4,5,4,3,2,2,2,1,1,3,4,7,4,5,4,5,4,5,4,3,2,2,2,1,1,3,4,7,4,5,4,5,4,5,4,3,2,2,2,1,1,3,4,7,4,5,4,5,4,5,4,3,2,2,2,1,1,3,4,7,4,5,4,5,4,5,4,3,2,2,2,1,1,3,4,7,4,5,4,5,4,5,4,3,2,2,2,1,1,3,4,7,4,5,4,5,4,5,4,3,2,2,2,1,1,3,4,7,4,5,4,5,4,5,4,3,2,2,2,1,1,3,4,7,4,5,4,5,4,5,4,3,2,2,2,1,1,3,4,7,4,5,4,5,4,5,4,3,2,2,2,1,
