collectible_2: .word 16, 16
.byte 199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,20,29,20,20,38,20,199,199,199,199,199,
199,199,199,29,111,29,38,183,38,38,38,183,20,199,199,199,
199,199,20,20,29,29,29,38,38,183,38,38,38,20,199,199,
199,199,20,111,20,29,111,29,29,38,38,38,183,20,199,199,
199,199,20,20,20,20,20,20,20,20,20,20,20,20,199,199,
199,199,57,4,6,5,5,4,2,4,5,6,6,59,199,199,
199,199,59,59,57,4,5,59,57,59,4,6,59,59,199,199,
199,199,2,40,55,59,57,57,59,63,40,59,63,2,199,199,
199,199,2,2,2,55,63,63,63,63,55,2,2,2,199,199,
199,199,20,29,2,2,2,55,55,2,2,2,38,20,199,199,
199,199,20,20,29,29,38,38,38,38,38,38,20,20,199,199,
199,199,199,20,20,20,20,20,20,20,20,20,20,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,


